,Unnamed: 0,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名,属地
0,0,鼓浪屿Gulangyu Island,495,88.0,世界文化遗产，特色店铺众多，建筑漂亮，生活气息和文艺范儿并重。,1.0,118.074046,24.451669,30724,0.68,鼓浪屿,GulangyuIsland,厦门
1,1,中山路步行街Zhongshan Road Pedestrian Street,632,88.0,厦门地标式商业街，欣赏连排的骑楼式建筑，搜罗地道的闽南小吃，感受鹭岛的独特魅力。,3.0,118.08563,24.460219,3390,0.53,中山路步行街,ZhongshanRoadPedestrianStreet,厦门
2,2,曾厝垵Zeng Cuo An Village,1071,86.0,厦门文创新地标，美食与文化的激情碰撞，去寻找文艺外表下充满生命力的古朴村落。,1.0,118.133063,24.432525,5815,0.51,曾厝垵,ZengCuoAnVillage,厦门
3,3,白城沙滩Baicheng Beach,369,92.0,靠近厦大的免费沙滩，漫步、海边玩耍，这是天然的休闲公园。,10.0,118.109353,24.438169,864,0.28,白城沙滩,BaichengBeach,厦门
4,4,厦门大学Xiamen University,1189,90.0,依山傍海，中西结合的独特建筑风格，被誉为中国最美的大学之一。,2.0,118.106534,24.443024,12520,0.79,厦门大学,XiamenUniversity,厦门
5,5,环岛路Huandao Road,637,94.0,享受海边骑行的快乐，边骑边看美丽风景。,6.0,118.116178,24.43582,5453,0.44,环岛路,HuandaoRoad,厦门
6,6,南普陀寺South Putuo Temple,724,92.0,全国闻名的佛教寺院，寺内的素斋和素饼都获过奖，还可登高望远。,5.0,118.103053,24.447029,4768,0.67,南普陀寺,SouthPutuoTemple,厦门
7,7,厦门园林植物园Xiamen Botanical Garden,137,92.0,环境很好的植物园，有多种稀有植物景观，也适合周末爬山休闲。,12.0,118.116097,24.454744,1910,0.1,厦门园林植物园,XiamenBotanicalGarden,厦门
8,8,沙坡尾避风坞Shapowei Wind Shelter,115,86.0,,7.0,118.094593,24.443997,290,0.02,沙坡尾避风坞,ShapoweiWindShelter,厦门
9,9,椰风寨Yefeng Village,91,88.0,很长的免费沙滩，游客不多，可以远眺金门岛。,18.0,118.176048,24.453568,274,0.03,椰风寨,YefengVillage,厦门
